,Type,Study,,,Templete data ,Age data,NOAA template,For J Morton to check,Uploaded to NCDC,Notes,Triple checked by CG and JR,Notes,,,,,,,,,,,,,,
Plant,SR,"Richey et al., 2020",,"Richey, J.D., Montañez, I.P., Goddéris, Y., Looy, C.V., Griffis, N.P. and DiMichele, W.A., 2020. Influence of temporally varying weatherability on CO2–climate coupling and ecosystem change in the late Paleozoic. Clim. Past., 16(5): 1759–1775. https://doi.org/10.5194/cp-16-1759-2020.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",Y,"Triple checked, but needs to be checked by J. Morton",,,,,,,,,,,,,,
Plant,Franks,"Richey et al., 2024",,"Richey, J.D., Colombi, C.E., Porter, A.S., Montañez, I.P., Kürschner, W.M. and McElwain, J.C., 2024 (In prep). Beyond the major events: A critical reappraisal of CO2 during a poorly characterized Late Triassic interval. Geology.",X,Y,Y,X,,"Needs to be updated post submission, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Plant,SR,"Steinthorsdottir and Vadja, 2015",,"Steinthorsdottir, M. and Vajda, V., 2015. Early Jurassic (late Pliensbachian) CO2 concentrations based on stomatal analysis of fossil conifer leaves from eastern Australia. Gondwana Res., 27(3): 932–939. https://doi.org/10.1016/j.gr.2013.08.021.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",Y,"Triple checked, but needs to be checked by J. Morton",,,,,,,,,,,,,,
Plant,SR,"Steinthorsdottir et al., 2011",,"Steinthorsdottir, M., Jeram, A.J. and McElwain, J.C., 2011. Extremely elevated CO2 concentrations at the Triassic/Jurassic boundary. Palaeogeogr. Palaeocl., 308(3): 418–432. https://doi.org/10.1016/j.palaeo.2011.05.050.",X,X,Y,X,,Template complete but contains only modern standardization; not Carboniferous. ,,,,,,,,,,,,,,,,
Plant,SR,"Steinthorsdottir et al., 2011",,"Steinthorsdottir, M., Jeram, A.J. and McElwain, J.C., 2011. Extremely elevated CO2 concentrations at the Triassic/Jurassic boundary. Palaeogeogr. Palaeocl., 308(3): 418–432. https://doi.org/10.1016/j.palaeo.2011.05.050.",X,X,Y,X,,Template for CO2 from transfer function is not done.,,,,,,,,,,,,,,,,
Plant,SR,"Steinthorsdottir et al., 2016",Steinthorsdottir_ 2016a,"Steinthorsdottir, M., Porter, A., S, Holohan, A., Kunzmann, L., Collinson, M.E. and McElwain, J.C., 2016. Fossil plant stomata indicate decreasing atmospheric CO2 prior to the Eocene–Oligocene boundary. Clim. Past., 12(2): 439–454. https://doi.org/10.5194/cp-12-439-2016.",X,X,Y,X,,Template complete but contains only average of modern and carb standardizations,,,,,,,,,,,,,,,,
Plant,SR,"Sun et al., 2007",,"Sun, B., Xiao, L., Xie, S., Deng, S., Wang, Y., Jia, H. and Turner, S., 2007. Quantitative Analysis of Paleoatmospheric CO2 Level Based on Stomatal Characters of Fossil Ginkgo from Jurassic to Cretaceous in China. Acta Geologica Sinica, 81(6): 931–939. https://doi.org/10.1111/j.1755-6724.2007.tb01016.x.",Y,Y,Y,,,Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SR,"Sun et al., 2018",,"Sun, C.-L., Tan, X., Dilcher, D.L., Wang, H., Na, Y.-L., Li, T., Li, Y.-F., 2018. Middle Jurassic Ginkgo leaves from the Daohugou area, Inner Mongolia, China and their implication for palaeo-CO2 reconstruction. Palaeoworld 27, 467-481.",Y,Y,Y,,,Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SR,"Wu et al., 2016",,"Wu, J.-y., Ding, S.-t., Li, Q.-j., Sun, B.-n. and Wang, Y.-d., 2016. Reconstructing paleoatmospheric CO2 levels based on fossil Ginkgoites from the Upper Triassic and Middle Jurassic in Northwest China. Paläontologische Zeitschrift, 90(2): 377-387. https://doi.org/10.1007/s12542-016-0300-1.",Y,Y,Y,,,Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SI,"Xiao et al., 2024",,"Xiao, L., Liang, J.-q., Guo, L.-y., Ji, D.-s., Yuan, M., Li, X.-c., Sun, N. and Li, Z.-c., 2024. Stable carbon isotopes and stomatal frequency of Middle Jurassic ginkgophyte fossils from the Turpan basin, northwestern China: Implications for reconstructing paleo-CO2 changes. J. Asian Earth Sci., 259: 105938. https://doi.org/10.1016/j.jseaes.2023.105938.",Y,Y,Y,,,Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SR,"Xiao et al., 2024",,"Xiao, L., Liang, J.-q., Guo, L.-y., Ji, D.-s., Yuan, M., Li, X.-c., Sun, N. and Li, Z.-c., 2024. Stable carbon isotopes and stomatal frequency of Middle Jurassic ginkgophyte fossils from the Turpan basin, northwestern China: Implications for reconstructing paleo-CO2 changes. J. Asian Earth Sci., 259: 105938. https://doi.org/10.1016/j.jseaes.2023.105938.",Y,Y,Y,,,Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SR,"Yan et al., 2009",,"Yan, D.-F., Sun, B.-N., Xie, S.-P., Li, X.-C. and Wen, W.-W., 2009. Response to paleoatmospheric CO2 concentration of Solenites vimineus (Phillips) Harris (Ginkgophyta) from the Middle Jurassic of the Yaojie Basin, Gansu Province, China. Science in China Series D: Earth Sciences, 52(12): 2029–2039. https://doi.org/10.1007/s11430-009-0181-1.",Y,Y,Y,X,,"Double checked by JDR and XZ, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Plant,Franks,"Zhou et al., 2020",,"Zhou, N., Wang, Y., Ya, L., Porter, A.S., Kürschner, W.M., Li, L., Lu, N. and McElwain, J.C., 2020. An inter-comparison study of three stomatal-proxy methods for CO2 reconstruction applied to early Jurassic Ginkgoales plants. Palaeogeogr. Palaeocl., 542: 109547. https://doi.org/10.1016/j.palaeo.2019.109547.",Y,Y,Y,,,Fixed errors identified by J. Morton. Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SR,"Zhou et al., 2020",,"Zhou, N., Wang, Y., Ya, L., Porter, A.S., Kürschner, W.M., Li, L., Lu, N. and McElwain, J.C., 2020. An inter-comparison study of three stomatal-proxy methods for CO2 reconstruction applied to early Jurassic Ginkgoales plants. Palaeogeogr. Palaeocl., 542: 109547. https://doi.org/10.1016/j.palaeo.2019.109547.",Y,Y,Y,,,Fixed errors identified by J. Morton. Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Paleosol,Paleosol,"Andrews et al., 1995",,"Andrews, J.E., Tandon, S.K. and Dennis, P.F., 1995. Concentration of carbon dioxide in the Late Cretaceous atmosphere. J. Geol. Soc. London, 152(1): 1–3. https://doi.org/10.1144/gsjgs.152.1.000.",-,-,-,-,Y,Uploaded to NCDC,,,,,,,,,,,,,,,,
Paleosol,Paleosol,"Andrzejewski et al., 2022",,"Andrzejewski, K., Tabor, N., Winkler, D. and Myers, T., 2022. Atmospheric pCO2 Reconstruction of Early Cretaceous Terrestrial Deposits in Texas and Oklahoma Using Pedogenic Carbonate and Occluded Organic Matter. Geosciences, 12(4): 148. https://doi.org/10.3390/geosciences12040148.",Y,X,Y,X,,"Double checked by JDR, needs to be checked by J. Morton, Needs age data",,,,,,,,,,,,,,,,
